product,type,quantity,selling_price,cost_price,shipping,fees,date
Wireless Charger,sale,8,2352.63,1721.11,174.61,86.63,2024-06-25
Monitor Arm,purchase,22,18265.09,14814.34,178.86,233.63,2024-01-02
Tablet Cover,sale,14,915.94,673.51,226.77,192.9,2024-03-02
Microphone,purchase,35,10299.39,9078.15,451.2,34.98,2023-12-06
Action Camera,purchase,2,12108.47,7331.27,234.36,208.4,2024-09-18
Tablet Cover,sale,28,14679.99,9595.66,142.36,236.17,2025-05-08
Gaming Chair,purchase,35,8176.28,6869.13,48.18,78.14,2025-07-09
Graphic Tablet,purchase,19,13803.0,9544.27,363.36,135.47,2024-10-16
Gaming Chair,purchase,46,6681.01,3849.8,128.47,23.49,2025-05-24
Drone Battery,sale,22,11821.86,10455.81,59.75,165.08,2025-01-16
Electric Kettle,purchase,41,18768.88,10951.39,226.79,161.2,2024-10-20
Fitness Tracker,purchase,19,15693.42,13456.98,480.95,35.61,2025-06-07
Coffee Maker,sale,31,3744.77,2673.25,313.07,69.36,2024-11-07
Coffee Maker,sale,36,12584.01,7215.68,92.51,83.37,2024-10-14
Coffee Maker,purchase,28,13451.07,12022.49,174.0,50.68,2023-09-21
Action Camera,sale,10,9093.86,6973.44,221.49,45.37,2025-01-02
VR Headset,sale,16,6477.83,5904.72,389.33,189.29,2026-02-15
Drone Battery,purchase,7,12680.99,10044.12,196.19,59.32,2023-01-01
Projector,purchase,25,12619.28,7439.75,124.25,60.02,2025-02-07
Portable Monitor,sale,33,2294.65,1967.19,54.59,193.24,2025-06-06
Dash Cam,sale,25,2022.77,1744.24,376.85,107.21,2025-07-04
Router,sale,28,10920.9,7066.97,109.98,78.38,2024-09-14
Microphone,sale,49,5470.15,4904.63,171.32,13.46,2025-01-22
Monitor Arm,purchase,25,18869.58,13709.53,84.04,51.49,2025-10-25
Wireless Charger,sale,7,18124.63,14516.8,181.07,67.42,2025-04-10
Air Fryer,purchase,42,5545.77,4031.51,311.42,215.05,2024-06-12
Monitor Arm,sale,44,7479.45,5235.32,162.79,239.76,2025-10-14
Microphone,sale,35,12528.79,8264.9,344.06,186.25,2023-10-26
Portable Monitor,sale,3,3639.63,2913.32,472.92,245.96,2025-12-22
Action Camera,purchase,8,13557.52,8521.62,447.08,82.18,2024-04-12
Projector,sale,29,10751.98,7809.96,111.39,206.36,2025-02-14
Gaming Chair,purchase,27,14671.75,11730.59,212.88,78.11,2023-01-11
External SSD,sale,4,18929.44,11590.87,367.3,99.57,2023-10-29
VR Headset,sale,48,2071.91,1606.24,324.35,28.68,2024-06-13
Gaming Chair,purchase,34,10933.85,8998.49,58.31,117.41,2025-10-14
Gaming Chair,purchase,32,11890.46,6935.23,168.15,158.69,2024-01-09
Action Camera,sale,26,9547.87,8575.62,21.03,102.51,2025-05-22
Gaming Chair,sale,27,20629.0,12295.01,377.55,104.24,2023-05-27
Graphic Tablet,purchase,44,14963.57,11653.42,381.8,196.99,2024-08-06
VR Headset,sale,50,6210.46,5534.94,335.41,93.94,2025-08-09
Electric Kettle,sale,14,11717.81,7845.83,305.85,16.3,2024-01-18
Tablet Cover,sale,29,2470.16,2188.7,420.93,195.85,2024-06-02
Coffee Maker,purchase,26,12024.77,9350.22,354.3,40.83,2023-02-11
Mechanical Keyboard,purchase,45,20295.98,12626.76,438.12,43.17,2024-08-30
Microphone,purchase,47,20103.21,12658.78,96.48,231.53,2026-03-13
Tablet Cover,sale,37,12553.09,11487.06,489.15,239.24,2024-02-29
Monitor Arm,purchase,50,12025.54,9855.98,186.77,237.39,2025-05-08
Mechanical Keyboard,sale,17,19389.9,13659.64,304.13,23.92,2023-11-26
Monitor Arm,sale,45,5399.54,3206.04,443.62,31.49,2023-03-15
Projector,sale,39,8893.58,6534.62,164.35,102.21,2025-04-01
Graphic Tablet,sale,29,4156.98,2483.59,313.95,127.87,2023-12-05
Router,sale,16,12777.21,9890.06,320.78,154.1,2025-02-04
Smart Doorbell,sale,18,12052.3,9522.0,479.27,15.72,2023-11-25
Microphone,purchase,6,2207.92,1566.18,459.63,127.81,2024-03-14
Gaming Chair,sale,35,468.17,283.07,70.52,78.04,2024-06-19
Portable Monitor,purchase,15,17313.56,10736.96,266.81,56.21,2023-11-20
Gaming Chair,purchase,4,18587.58,13650.12,172.3,152.64,2024-11-04
Projector,purchase,45,6819.96,5812.16,169.41,177.21,2024-01-10
Drone Battery,purchase,8,15454.33,9732.76,24.94,97.4,2024-04-26
Portable Monitor,sale,6,19408.59,13782.0,300.16,114.44,2023-05-12
Electric Kettle,purchase,12,18595.92,13194.69,400.94,182.17,2024-02-01
Drone Battery,sale,46,9260.98,8024.68,239.57,111.09,2026-01-02
Tablet Cover,sale,10,10592.06,8557.71,483.33,220.3,2025-12-04
Action Camera,purchase,37,7864.38,6118.62,39.47,205.5,2023-04-22
Microphone,sale,22,18708.6,13092.48,465.74,31.09,2023-07-04
Monitor Arm,sale,41,17360.5,13873.56,365.16,90.54,2024-04-25
Gaming Chair,purchase,5,11112.06,8588.92,142.07,140.9,2023-10-23
Portable Monitor,purchase,35,4575.11,2753.04,214.47,24.47,2025-12-08
Dash Cam,sale,21,1586.4,935.71,411.19,99.59,2024-07-05
Fitness Tracker,sale,49,12530.34,8303.94,388.96,54.11,2025-02-10
Monitor Arm,purchase,4,1578.97,1312.3,472.18,126.04,2024-01-06
Monitor Arm,purchase,39,14092.27,9336.92,198.06,47.12,2026-02-24
Router,sale,22,2975.0,1799.6,103.8,46.59,2023-12-24
Fitness Tracker,purchase,43,17820.29,13188.87,180.38,76.27,2024-02-06
Portable Monitor,purchase,3,13866.34,10489.53,59.69,207.42,2024-07-07
VR Headset,purchase,45,14865.21,11714.02,418.31,14.3,2023-06-08
Smart Doorbell,sale,18,10781.12,8454.76,405.82,167.36,2025-03-28
Electric Kettle,sale,15,12723.32,8130.74,338.34,116.72,2023-03-04
Projector,purchase,14,6035.32,4132.46,97.62,91.53,2025-07-10
Graphic Tablet,purchase,13,12882.01,9927.11,94.68,62.06,2026-04-06
Coffee Maker,purchase,43,16148.28,12767.95,221.85,53.39,2025-11-13
Coffee Maker,sale,15,16587.71,13102.26,58.81,181.66,2026-03-24
VR Headset,purchase,34,16653.19,12115.64,161.81,249.07,2025-01-22
Portable Monitor,purchase,31,14232.68,8319.33,264.97,34.0,2023-02-09
Tablet Cover,purchase,32,9804.66,6171.78,461.9,196.92,2024-08-20
Graphic Tablet,purchase,25,9674.72,6357.33,394.49,195.94,2025-01-02
VR Headset,purchase,35,3161.94,2715.43,237.65,11.53,2023-12-26
Router,purchase,15,3951.07,3139.14,476.99,173.75,2025-11-11
Monitor Arm,sale,37,4709.1,3947.29,226.52,161.25,2024-01-13
Router,sale,7,13120.07,9959.14,401.95,47.64,2023-09-26
Tablet Cover,sale,38,12679.3,7664.0,471.51,164.8,2024-01-25
Action Camera,sale,45,3561.47,2517.42,307.65,98.37,2025-04-08
Microphone,purchase,1,14039.55,12529.96,177.76,141.81,2023-10-21
Microphone,sale,49,12233.17,10683.88,260.32,163.35,2023-06-08
Fitness Tracker,purchase,14,19217.2,14648.57,316.96,160.05,2023-08-26
Electric Kettle,purchase,40,7857.34,5214.39,417.27,111.05,2025-07-30
Air Fryer,purchase,4,21477.81,14522.46,68.91,127.07,2024-11-28
Monitor Arm,purchase,10,9928.65,6093.04,236.13,211.81,2025-06-19
Microphone,sale,50,13216.93,11520.31,474.59,196.71,2025-01-14
Electric Kettle,purchase,7,19895.41,14609.92,201.78,197.04,2025-03-23
Air Fryer,purchase,42,10862.43,9151.12,448.69,90.69,2025-07-23
VR Headset,purchase,41,18339.87,11694.1,397.63,30.71,2025-09-24
Fitness Tracker,purchase,19,10603.65,6609.97,41.6,242.24,2024-03-03
Tablet Cover,sale,1,2193.6,1552.27,358.48,27.18,2024-04-07
Monitor Arm,purchase,23,17191.98,11878.25,110.83,11.35,2025-08-04
Mechanical Keyboard,purchase,45,737.68,492.3,252.1,177.13,2025-05-09
Gaming Chair,purchase,41,20656.68,14588.7,456.28,81.05,2025-12-21
Gaming Chair,sale,35,374.58,329.55,367.05,248.14,2024-03-11
Air Fryer,purchase,27,15640.73,13056.47,244.7,85.06,2024-12-24
Graphic Tablet,purchase,23,1143.54,786.49,48.49,170.17,2024-12-28
Microphone,purchase,3,558.5,372.62,269.79,124.5,2023-11-17
Microphone,purchase,23,312.39,288.38,68.11,23.93,2023-06-05
External SSD,sale,14,6221.32,4046.85,276.76,88.14,2026-03-20
Air Fryer,purchase,22,17365.75,13241.39,419.74,83.52,2024-09-11
Tablet Cover,purchase,6,14689.58,12956.73,271.13,44.83,2025-03-31
Drone Battery,sale,25,19006.46,11568.02,272.78,79.16,2024-02-17
Coffee Maker,sale,21,7496.93,4523.25,388.54,132.58,2025-04-09
Wireless Charger,sale,9,1226.75,973.6,304.52,184.19,2024-08-26
Projector,purchase,10,12560.54,8409.66,399.81,224.35,2025-03-14
Dash Cam,purchase,16,3620.55,2140.89,157.89,180.77,2025-05-04
Fitness Tracker,purchase,32,18610.89,13027.85,461.5,160.11,2025-07-27
External SSD,sale,40,5352.24,4160.34,239.0,204.36,2023-04-27
Router,sale,28,7750.02,5817.67,337.11,246.14,2024-08-13
Air Fryer,purchase,1,19558.05,12040.6,175.31,218.01,2023-11-28
Air Fryer,sale,35,398.91,236.37,457.11,146.53,2025-01-31
Electric Kettle,purchase,35,6685.44,4519.22,143.32,153.56,2025-01-27
Smart Doorbell,sale,45,457.5,288.55,293.87,84.6,2026-01-20
Action Camera,sale,22,17470.34,10263.69,70.86,79.51,2023-01-03
Coffee Maker,sale,2,10431.83,7293.72,180.59,141.78,2023-08-31
Monitor Arm,purchase,15,8150.97,6940.99,56.76,23.55,2025-03-16
Smart Doorbell,purchase,24,7526.82,4616.8,400.25,109.31,2023-12-18
Microphone,purchase,19,3680.89,2602.27,172.53,91.47,2023-01-23
Router,purchase,41,22635.06,14154.17,436.51,5.16,2023-08-30
Wireless Charger,purchase,43,7341.38,4497.47,466.73,215.58,2023-02-02
Wireless Charger,purchase,33,5715.69,4142.69,138.0,16.38,2024-11-02
Dash Cam,sale,45,16437.11,14597.89,401.49,218.04,2026-03-17
Mechanical Keyboard,purchase,48,4785.29,3728.66,157.19,203.91,2025-01-18
Electric Kettle,purchase,6,6018.93,4366.65,195.1,189.68,2024-04-23
Portable Monitor,sale,30,20622.91,12313.02,426.17,47.14,2024-11-19
External SSD,purchase,28,5493.39,3186.52,300.82,161.03,2026-03-13
Graphic Tablet,sale,7,4351.43,3158.54,390.42,61.36,2024-01-05
Router,sale,42,2571.72,2034.55,110.77,171.93,2025-11-23
Projector,sale,8,17703.38,13201.05,242.6,56.95,2023-09-04
Drone Battery,purchase,40,2673.38,2192.24,90.21,99.55,2024-12-10
Electric Kettle,sale,27,10667.75,8087.89,295.37,130.1,2023-09-21
Router,sale,15,18197.15,13251.38,236.18,147.05,2023-12-31
Tablet Cover,sale,3,8964.74,7828.95,245.54,56.54,2026-03-02
Gaming Chair,purchase,11,11656.37,10219.8,33.49,53.95,2024-12-23
Wireless Charger,purchase,5,19799.0,14094.26,252.02,128.19,2023-11-03
Projector,purchase,46,5433.29,3268.4,329.13,216.88,2024-04-28
Tablet Cover,sale,34,12451.57,8918.1,339.13,178.86,2024-06-27
Tablet Cover,purchase,50,6596.5,5075.35,270.33,71.95,2025-07-06
Mechanical Keyboard,sale,46,20937.21,13970.54,193.91,8.67,2023-09-20
Coffee Maker,sale,1,13024.78,8574.01,286.52,88.58,2025-01-05
Projector,purchase,13,16496.05,9554.04,101.56,116.78,2024-05-17
Projector,purchase,43,11101.99,8115.65,42.63,21.6,2023-12-14
Smart Doorbell,purchase,18,13571.4,10076.45,130.26,189.33,2023-02-25
Microphone,sale,1,13011.26,9235.75,229.99,27.54,2025-12-14
Drone Battery,sale,11,6563.47,5776.54,323.6,174.82,2023-12-18
Portable Monitor,sale,26,7285.48,6245.35,314.28,184.64,2023-12-27
Tablet Cover,sale,7,1768.11,1083.51,355.39,26.26,2024-05-11
External SSD,sale,24,19724.51,12538.13,463.69,141.11,2023-05-28
Wireless Charger,sale,21,19617.44,14616.38,86.44,126.23,2025-10-06
Coffee Maker,purchase,13,1770.53,1126.12,111.2,80.22,2023-12-12
Drone Battery,purchase,12,6919.74,5414.28,300.63,168.37,2024-02-09
Action Camera,purchase,4,17689.96,10937.32,56.43,225.27,2026-02-21
Projector,sale,27,15635.73,11009.38,364.86,79.75,2026-01-25
Fitness Tracker,purchase,20,2676.94,1676.23,453.5,194.62,2024-05-01
Action Camera,purchase,35,14314.46,12483.87,236.94,117.69,2024-08-30
Action Camera,purchase,21,1339.63,801.4,460.45,220.94,2023-02-07
Wireless Charger,purchase,22,3721.55,2710.59,88.02,187.47,2023-10-14
Coffee Maker,sale,3,7844.02,5165.48,53.23,147.49,2024-07-31
Smart Doorbell,sale,44,1304.57,961.4,239.83,7.1,2026-01-26
Action Camera,sale,43,20053.44,13661.95,211.47,60.99,2025-02-25
Smart Doorbell,purchase,8,11759.48,6917.23,104.89,140.36,2026-01-01
Action Camera,sale,39,20897.48,12244.5,240.7,52.09,2025-05-16
Electric Kettle,sale,20,19653.58,14617.93,53.86,15.89,2024-01-18
Dash Cam,purchase,10,3363.41,2898.34,110.13,49.15,2025-02-18
Wireless Charger,sale,24,20202.86,13698.3,452.34,205.09,2025-09-06
Projector,sale,27,823.54,491.42,242.12,150.16,2023-08-24
Dash Cam,purchase,18,19243.57,14853.38,424.32,84.04,2025-06-13
Drone Battery,sale,11,18845.37,11084.93,265.55,134.21,2025-11-07
Router,purchase,9,7222.25,6448.43,335.83,99.89,2024-11-23
Tablet Cover,sale,30,4670.18,2872.87,416.08,174.93,2025-03-01
VR Headset,sale,40,9180.07,6194.56,277.72,217.39,2025-05-17
Gaming Chair,sale,36,8108.53,6238.46,357.83,80.15,2024-12-13
Monitor Arm,purchase,30,2429.31,1815.91,162.67,88.3,2024-02-15
External SSD,purchase,15,14356.02,13138.13,479.68,69.12,2026-03-02
VR Headset,purchase,40,7226.79,5750.89,425.51,221.17,2023-01-29
Tablet Cover,sale,28,14151.15,9960.4,44.42,173.45,2024-05-22
Air Fryer,purchase,46,22801.77,14777.81,198.41,212.89,2024-12-29
Tablet Cover,sale,11,14793.52,11805.39,163.76,25.89,2024-06-16
Air Fryer,purchase,45,12427.83,9197.53,321.26,28.21,2024-07-12
Graphic Tablet,sale,36,13643.03,8783.12,229.45,100.6,2024-04-30
Projector,purchase,34,4397.22,3548.36,255.95,144.84,2024-05-11
Router,sale,8,16013.51,11373.39,182.98,73.15,2026-02-12
Air Fryer,sale,21,15088.09,13363.86,165.37,22.05,2026-02-13
Mechanical Keyboard,purchase,11,7358.51,4746.1,159.84,122.79,2024-03-27
Drone Battery,purchase,29,8175.76,5904.98,64.56,15.49,2024-04-21
Dash Cam,purchase,13,5365.71,4002.94,26.8,81.46,2023-08-18
Tablet Cover,sale,9,9692.76,8200.75,128.14,122.8,2025-02-10
Graphic Tablet,sale,6,4366.34,2499.88,279.28,241.81,2026-01-15
Dash Cam,sale,2,4353.5,2612.22,464.92,26.08,2025-09-03
Projector,sale,48,15884.2,11183.36,441.75,44.59,2025-04-17
Action Camera,sale,18,9462.87,6546.38,441.28,122.33,2024-08-15
Mechanical Keyboard,sale,25,14836.74,12153.03,139.35,63.21,2023-09-30
Drone Battery,purchase,49,17548.65,14619.17,241.87,87.7,2026-02-25
Dash Cam,sale,9,15174.34,11514.71,301.78,171.21,2023-05-29
Smart Doorbell,purchase,13,23548.17,14167.73,443.87,18.26,2024-04-30
Fitness Tracker,purchase,41,17253.27,14992.4,151.3,162.47,2023-02-22
Drone Battery,purchase,38,13933.07,8369.49,49.77,198.4,2024-02-24
Graphic Tablet,sale,37,15764.01,12228.15,295.74,225.61,2024-03-11
Monitor Arm,purchase,31,728.48,629.12,253.43,113.08,2023-04-07
External SSD,sale,8,17169.12,13222.63,193.19,63.54,2024-10-17
Gaming Chair,purchase,37,11532.39,6846.17,353.38,202.16,2025-11-22
Mechanical Keyboard,purchase,20,5333.98,3310.23,374.57,90.22,2024-12-21
Air Fryer,purchase,10,15624.22,11865.37,112.26,156.58,2025-05-02
Electric Kettle,sale,6,16825.56,10386.54,379.37,195.55,2025-02-15
Fitness Tracker,purchase,34,6917.19,5213.98,72.12,177.75,2025-05-17
Gaming Chair,sale,14,14306.74,10570.74,235.14,197.97,2024-12-20
External SSD,sale,33,7996.89,5973.92,414.2,135.49,2023-08-06
Dash Cam,purchase,6,8738.93,5929.42,436.03,89.89,2023-03-12
Microphone,sale,7,23115.93,14753.59,77.27,66.26,2025-02-11
Router,sale,36,6424.91,4122.92,416.85,200.91,2024-11-12
Smart Doorbell,sale,8,8798.01,6124.72,358.2,191.97,2023-04-24
Tablet Cover,purchase,4,3233.9,2325.92,45.69,42.77,2026-04-09
Wireless Charger,sale,43,7643.31,5301.48,312.71,169.36,2023-12-19
Portable Monitor,purchase,7,15589.41,14104.62,321.07,23.36,2025-04-07
Projector,sale,32,1588.02,1107.08,251.61,127.71,2024-09-08
Coffee Maker,purchase,39,9400.0,8240.57,445.74,92.53,2024-06-03
Electric Kettle,sale,2,14277.51,12447.91,319.18,137.81,2024-12-09
Wireless Charger,purchase,16,17727.03,12020.91,370.68,249.51,2023-02-10
Tablet Cover,purchase,7,15093.92,10361.34,429.64,137.47,2024-08-25
Portable Monitor,sale,17,4316.04,2869.47,482.73,41.67,2023-07-11
Smart Doorbell,purchase,32,17538.24,11416.3,159.22,93.43,2024-01-02
Fitness Tracker,sale,3,8168.06,5990.64,137.83,211.31,2023-02-05
Gaming Chair,purchase,20,2154.06,1263.73,63.2,88.57,2026-01-03
External SSD,purchase,16,15318.35,13429.94,487.81,211.71,2023-01-21
Tablet Cover,purchase,14,15037.38,12675.21,464.25,198.23,2024-10-30
Electric Kettle,purchase,5,5242.35,3213.89,225.09,106.78,2025-08-31
Dash Cam,purchase,28,15670.88,9192.17,52.7,145.69,2024-12-28
External SSD,sale,40,1590.38,1345.43,300.32,9.19,2024-01-13
Tablet Cover,purchase,26,22525.64,13475.08,396.5,247.97,2024-04-26
Mechanical Keyboard,purchase,38,20069.87,14876.41,129.43,224.82,2025-12-19
External SSD,purchase,6,11719.58,7004.81,244.94,104.78,2024-03-05
Smart Doorbell,purchase,23,5180.56,4757.93,22.57,141.12,2026-02-20
Projector,sale,34,2755.34,1795.2,232.95,64.87,2023-01-12
VR Headset,purchase,13,24064.94,14413.52,152.1,79.72,2023-10-08
Mechanical Keyboard,purchase,42,1848.68,1581.56,360.71,137.9,2025-05-16
Dash Cam,sale,37,4070.57,2430.95,62.21,231.4,2023-05-06
Drone Battery,sale,9,8640.31,7393.29,439.34,181.63,2025-10-10
Drone Battery,purchase,1,9347.75,7231.35,122.2,195.4,2024-10-06
Portable Monitor,purchase,39,19237.26,13418.99,29.59,221.85,2025-02-19
Fitness Tracker,sale,33,13711.89,11806.97,312.17,144.79,2026-02-07
Microphone,purchase,13,9752.19,7224.67,66.0,162.36,2025-03-03
Graphic Tablet,sale,31,8437.46,7477.2,408.79,84.43,2023-05-27
Drone Battery,sale,7,1459.71,1277.25,478.27,88.08,2023-08-01
Portable Monitor,sale,14,18333.61,14635.6,267.56,185.07,2023-12-18
Monitor Arm,sale,33,7787.76,6306.03,355.52,88.78,2023-10-06
Projector,purchase,5,12388.7,7185.98,457.65,86.53,2025-02-03
Router,purchase,38,639.56,374.24,336.45,185.11,2023-02-19
Monitor Arm,purchase,19,18752.87,11113.78,131.4,30.72,2024-10-18
Gaming Chair,sale,9,16275.31,14564.69,73.53,90.73,2025-04-16
Microphone,sale,36,19968.49,12695.07,29.64,241.79,2024-05-16
Portable Monitor,sale,19,8653.78,5308.6,377.74,161.38,2023-10-18
