product,type,quantity,selling_price,cost_price,shipping,fees,date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Noise Cancelling Headphones,sale,1.0,5632.6001155905815,3987.0,21.0,112.65200231181163,27-01-2023,,,,
Mechanical Keyboard,purchase,27.0,0.0,2294.0,144.0,0.0,07-10-2023,,,,
Mechanical Keyboard,sale,4.0,2576.8315957302643,1784.0,8.0,51.53663191460529,08-03-2023,,,,
Webcam,sale,3.0,5935.0093425247105,3551.0,15.0,118.70018685049422,22-09-2023,,,,
Mechanical Keyboard,sale,4.0,6594.081638067608,4407.0,49.0,131.88163276135217,24-01-2023,,,,
External SSD,sale,2.0,7445.311216085418,4382.0,28.0,148.90622432170835,28-02-2023,,,,
Noise Cancelling Headphones,purchase,39.0,0.0,3437.0,127.0,0.0,13-06-2023,,,,
Noise Cancelling Headphones,sale,4.0,2430.215811750389,1481.0,47.0,48.604316235007786,21-07-2023,,,,
USB-C Hub,sale,4.0,888.5806193601902,618.0,29.0,17.771612387203806,02-09-2023,,,,
Laptop Stand,sale,4.0,3821.4060719604126,2434.0,38.0,76.42812143920825,18-07-2023,,,,
Wireless Mouse,purchase,9.0,0.0,4957.0,65.0,0.0,16-06-2023,,,,
Noise Cancelling Headphones,sale,4.0,1053.5829758040443,599.0,47.0,21.071659516080885,14-04-2023,,,,
Laptop Stand,sale,1.0,5672.404637627327,4111.0,43.0,113.44809275254654,27-09-2023,,,,
Noise Cancelling Headphones,sale,4.0,5219.292319438359,3112.0,5.0,104.38584638876719,23-09-2023,,,,
USB-C Hub,sale,1.0,2605.717026722977,1618.0,32.0,52.114340534459544,29-04-2023,,,,
Noise Cancelling Headphones,purchase,69.0,0.0,1368.0,29.0,0.0,03-12-2023,,,,
Noise Cancelling Headphones,sale,1.0,5949.615875192988,3352.0,40.0,118.99231750385977,29-05-2023,,,,
Noise Cancelling Headphones,purchase,67.0,0.0,1480.0,136.0,0.0,05-01-2023,,,,
Gaming Monitor,sale,1.0,1966.1431861353628,1394.0,23.0,39.32286372270726,16-01-2023,,,,
Laptop Stand,sale,2.0,6391.6382189115375,4913.0,29.0,127.83276437823075,13-06-2023,,,,
Ethernet Adapter,purchase,44.0,0.0,3386.0,119.0,0.0,01-09-2023,,,,
Gaming Monitor,sale,2.0,7312.225706828925,4154.0,26.0,146.2445141365785,16-06-2023,,,,
Gaming Monitor,sale,3.0,2576.349139288459,2028.0,10.0,51.52698278576918,25-07-2023,,,,
External SSD,sale,2.0,1238.7154975964622,897.0,41.0,24.774309951929244,03-05-2023,,,,
Mechanical Keyboard,sale,1.0,6042.710419744485,4905.0,37.0,120.85420839488971,28-07-2023,,,,
Mechanical Keyboard,sale,1.0,6716.07746571262,4632.0,9.0,134.32154931425242,03-06-2023,,,,
USB-C Hub,sale,1.0,6460.445162571559,4771.0,24.0,129.2089032514312,04-11-2023,,,,
USB-C Hub,purchase,25.0,0.0,3929.0,52.0,0.0,08-09-2023,,,,
Mechanical Keyboard,sale,1.0,6922.583034579528,4922.0,33.0,138.45166069159058,06-05-2023,,,,
Webcam,sale,2.0,3529.8454273587354,2461.0,25.0,70.5969085471747,26-10-2023,,,,
Laptop Stand,purchase,19.0,0.0,4657.0,132.0,0.0,24-08-2023,,,,
Webcam,sale,1.0,4770.961679391082,3354.0,23.0,95.41923358782164,13-10-2023,,,,
Wireless Mouse,purchase,77.0,0.0,1574.0,16.0,0.0,05-11-2023,,,,
Noise Cancelling Headphones,purchase,99.0,0.0,1935.0,24.0,0.0,17-03-2023,,,,
Bluetooth Speaker,sale,1.0,6982.69951559695,4209.0,8.0,139.653990311939,19-02-2023,,,,
Laptop Stand,purchase,77.0,0.0,4929.0,24.0,0.0,30-10-2023,,,,
Noise Cancelling Headphones,purchase,44.0,0.0,2133.0,106.0,0.0,25-12-2023,,,,
Ethernet Adapter,sale,1.0,6792.630534064039,4654.0,48.0,135.8526106812808,23-10-2023,,,,
Wireless Mouse,sale,2.0,2797.378148084977,2321.0,38.0,55.94756296169954,08-05-2023,,,,
Laptop Stand,sale,3.0,2094.7235274828486,1391.0,12.0,41.89447054965697,31-08-2023,,,,
Noise Cancelling Headphones,sale,2.0,6449.407070432641,4903.0,22.0,128.98814140865284,19-06-2023,,,,
Webcam,sale,3.0,4071.4501549459105,2509.0,22.0,81.42900309891822,16-09-2023,,,,
Laptop Stand,sale,4.0,1144.638101613171,826.0,27.0,22.892762032263423,17-11-2023,,,,
Ethernet Adapter,sale,1.0,1685.5546238501297,1293.0,26.0,33.711092477002595,25-07-2023,,,,
Webcam,purchase,54.0,0.0,2747.0,118.0,0.0,19-03-2023,,,,
External SSD,sale,3.0,1454.193253567096,852.0,40.0,29.083865071341922,03-12-2023,,,,
Noise Cancelling Headphones,purchase,8.0,0.0,2240.0,134.0,0.0,06-08-2023,,,,
External SSD,purchase,40.0,0.0,1118.0,138.0,0.0,03-11-2023,,,,
Noise Cancelling Headphones,purchase,35.0,0.0,2878.0,116.0,0.0,13-07-2023,,,,
USB-C Hub,purchase,58.0,0.0,3255.0,87.0,0.0,31-01-2023,,,,
Webcam,sale,3.0,7769.509983156982,4880.0,31.0,155.39019966313964,01-01-2023,,,,
Gaming Monitor,purchase,95.0,0.0,4156.0,137.0,0.0,31-01-2023,,,,
Wireless Mouse,sale,3.0,1797.54737629233,1383.0,16.0,35.9509475258466,02-06-2023,,,,
Bluetooth Speaker,sale,4.0,2027.3092031804963,1244.0,42.0,40.54618406360993,31-07-2023,,,,
External SSD,purchase,79.0,0.0,4027.0,42.0,0.0,10-05-2023,,,,
Webcam,sale,2.0,1710.3971516990323,1180.0,10.0,34.20794303398065,12-08-2023,,,,
Noise Cancelling Headphones,sale,4.0,5417.193844853753,3117.0,39.0,108.34387689707506,02-07-2023,,,,
Bluetooth Speaker,sale,1.0,2680.5983931036517,2170.0,37.0,53.61196786207304,29-04-2023,,,,
Gaming Monitor,purchase,35.0,0.0,3058.0,17.0,0.0,11-11-2023,,,,
Gaming Monitor,sale,3.0,6996.543236078377,4729.0,7.0,139.93086472156753,12-03-2023,,,,
Noise Cancelling Headphones,purchase,48.0,0.0,2428.0,42.0,0.0,28-04-2023,,,,
Mechanical Keyboard,sale,1.0,4542.055616025245,3224.0,34.0,90.8411123205049,01-02-2023,,,,
Noise Cancelling Headphones,sale,1.0,5237.783595815629,4159.0,39.0,104.7556719163126,12-10-2023,,,,
Gaming Monitor,sale,4.0,981.687747482141,546.0,29.0,19.63375494964282,23-05-2023,,,,
Wireless Mouse,purchase,95.0,0.0,1347.0,136.0,0.0,29-01-2023,,,,
Ethernet Adapter,purchase,97.0,0.0,1384.0,130.0,0.0,19-04-2023,,,,
Gaming Monitor,purchase,31.0,0.0,1235.0,23.0,0.0,27-06-2023,,,,
Bluetooth Speaker,sale,2.0,3339.040914887113,2688.0,27.0,66.78081829774226,26-07-2023,,,,
Mechanical Keyboard,sale,4.0,7249.94633381142,4926.0,15.0,144.9989266762284,18-05-2023,,,,
Mechanical Keyboard,purchase,97.0,0.0,1884.0,61.0,0.0,21-01-2023,,,,
Bluetooth Speaker,purchase,65.0,0.0,3751.0,54.0,0.0,24-04-2023,,,,
Laptop Stand,sale,4.0,6655.131508542592,3997.0,40.0,133.10263017085185,22-04-2023,,,,
Bluetooth Speaker,sale,2.0,7410.562242405581,4315.0,8.0,148.21124484811162,16-07-2023,,,,
Webcam,sale,4.0,5457.608152810245,3985.0,43.0,109.1521630562049,03-05-2023,,,,
Ethernet Adapter,sale,4.0,3027.6269435460613,1823.0,44.0,60.552538870921225,19-06-2023,,,,
Gaming Monitor,sale,3.0,6481.17492488321,3813.0,18.0,129.6234984976642,26-09-2023,,,,
USB-C Hub,purchase,43.0,0.0,1338.0,83.0,0.0,06-02-2023,,,,
Ethernet Adapter,sale,4.0,1499.5141377601876,837.0,16.0,29.990282755203754,18-07-2023,,,,
Laptop Stand,purchase,94.0,0.0,4714.0,137.0,0.0,02-08-2023,,,,
Mechanical Keyboard,sale,1.0,3706.9974352496097,2172.0,33.0,74.1399487049922,10-09-2023,,,,
Gaming Monitor,sale,1.0,3853.995600144742,2791.0,9.0,77.07991200289484,26-06-2023,,,,
Webcam,purchase,43.0,0.0,1046.0,16.0,0.0,29-12-2023,,,,
Laptop Stand,sale,2.0,865.251026417649,719.0,11.0,17.30502052835298,01-06-2023,,,,
Ethernet Adapter,purchase,78.0,0.0,4565.0,24.0,0.0,02-04-2023,,,,
Bluetooth Speaker,sale,2.0,6330.488140525058,3790.0,37.0,126.60976281050117,19-07-2023,,,,
Bluetooth Speaker,purchase,9.0,0.0,3636.0,87.0,0.0,10-01-2023,,,,
Bluetooth Speaker,sale,3.0,1877.5723277822653,1171.0,27.0,37.551446555645306,28-08-2023,,,,
USB-C Hub,sale,2.0,7656.274502587615,4433.0,13.0,153.1254900517523,24-09-2023,,,,
Wireless Mouse,purchase,59.0,0.0,736.0,18.0,0.0,14-02-2023,,,,
Noise Cancelling Headphones,purchase,13.0,0.0,2050.0,112.0,0.0,03-09-2023,,,,
Ethernet Adapter,sale,2.0,6349.015025133619,4222.0,16.0,126.98030050267238,23-02-2023,,,,
Wireless Mouse,sale,1.0,5309.912279627512,4374.0,20.0,106.19824559255025,20-05-2023,,,,
USB-C Hub,sale,1.0,8137.083431196713,4610.0,43.0,162.74166862393426,28-04-2023,,,,
Gaming Monitor,sale,4.0,5778.743129062023,4345.0,28.0,115.57486258124047,22-05-2023,,,,
Ethernet Adapter,sale,2.0,6180.35557872345,3749.0,14.0,123.607111574469,10-08-2023,,,,
External SSD,sale,3.0,3896.362764762162,3133.0,33.0,77.92725529524324,26-12-2023,,,,
Laptop Stand,purchase,64.0,0.0,3240.0,44.0,0.0,16-01-2023,,,,
Ethernet Adapter,sale,3.0,1044.5609557438415,724.0,19.0,20.89121911487683,06-12-2023,,,,
External SSD,sale,2.0,774.1803051864626,551.0,11.0,15.483606103729253,19-12-2023,,,,
Ethernet Adapter,purchase,60.0,0.0,3436.0,146.0,0.0,18-06-2023,,,,
Ethernet Adapter,sale,4.0,1496.7658805521091,937.0,31.0,29.935317611042183,10-01-2023,,,,
Noise Cancelling Headphones,sale,1.0,2873.9118774131293,1634.0,11.0,57.47823754826259,21-05-2023,,,,
Gaming Monitor,sale,3.0,4121.259804193119,3321.0,16.0,82.42519608386237,22-12-2023,,,,
Laptop Stand,sale,1.0,1861.4998106533355,1458.0,40.0,37.22999621306671,23-02-2023,,,,
Webcam,sale,2.0,785.51916995111,593.0,13.0,15.7103833990222,25-04-2023,,,,
Gaming Monitor,purchase,22.0,0.0,4389.0,89.0,0.0,03-03-2023,,,,
External SSD,sale,3.0,738.4024362654823,558.0,19.0,14.768048725309646,08-08-2023,,,,
Gaming Monitor,sale,2.0,5106.19000018662,3676.0,34.0,102.1238000037324,15-02-2023,,,,
External SSD,purchase,72.0,0.0,3920.0,87.0,0.0,14-02-2023,,,,
Ethernet Adapter,sale,1.0,6731.336370379011,4407.0,20.0,134.62672740758023,29-04-2023,,,,
Mechanical Keyboard,purchase,48.0,0.0,2793.0,144.0,0.0,22-10-2023,,,,
External SSD,sale,1.0,5441.9604969961,3348.0,28.0,108.839209939922,04-05-2023,,,,
Laptop Stand,purchase,58.0,0.0,3866.0,144.0,0.0,03-09-2023,,,,
Ethernet Adapter,sale,4.0,1925.070179954157,1592.0,28.0,38.50140359908314,30-10-2023,,,,
USB-C Hub,sale,3.0,6438.288794044665,4264.0,15.0,128.7657758808933,08-04-2023,,,,
USB-C Hub,sale,3.0,5016.047181701734,2799.0,36.0,100.32094363403469,10-09-2023,,,,
Bluetooth Speaker,purchase,32.0,0.0,3644.0,135.0,0.0,23-04-2023,,,,
External SSD,sale,4.0,3375.917481152665,2599.0,47.0,67.5183496230533,20-04-2023,,,,
Webcam,sale,2.0,6149.791162595298,4603.0,41.0,122.99582325190597,02-06-2023,,,,
Noise Cancelling Headphones,purchase,24.0,0.0,841.0,123.0,0.0,16-09-2023,,,,
External SSD,purchase,20.0,0.0,3801.0,113.0,0.0,18-06-2023,,,,
Laptop Stand,sale,2.0,829.4699829184414,689.0,24.0,16.589399658368826,29-10-2023,,,,
Laptop Stand,purchase,44.0,0.0,2965.0,131.0,0.0,06-06-2023,,,,
Mechanical Keyboard,sale,1.0,8128.9057234457,4558.0,11.0,162.57811446891398,17-09-2023,,,,
External SSD,purchase,9.0,0.0,2076.0,122.0,0.0,12-06-2023,,,,
Wireless Mouse,sale,3.0,6147.862197320666,4974.0,29.0,122.95724394641333,03-03-2023,,,,
Noise Cancelling Headphones,sale,2.0,4809.441706037457,2983.0,10.0,96.18883412074915,27-12-2023,,,,
Noise Cancelling Headphones,sale,1.0,1786.9025262047426,1044.0,6.0,35.73805052409485,19-05-2023,,,,
Webcam,purchase,61.0,0.0,738.0,81.0,0.0,24-11-2023,,,,
Webcam,sale,3.0,2415.2547966048387,1701.0,45.0,48.305095932096776,16-10-2023,,,,
USB-C Hub,sale,4.0,7073.152698511844,4979.0,28.0,141.4630539702369,08-04-2023,,,,
Wireless Mouse,purchase,37.0,0.0,2393.0,144.0,0.0,26-06-2023,,,,
Laptop Stand,sale,4.0,2687.1212910301106,1825.0,28.0,53.742425820602215,23-08-2023,,,,
USB-C Hub,sale,4.0,6947.01807740495,4532.0,10.0,138.94036154809902,03-05-2023,,,,
Mechanical Keyboard,sale,2.0,4090.986433562231,3105.0,18.0,81.81972867124462,17-05-2023,,,,
Noise Cancelling Headphones,sale,1.0,5261.762809906178,3018.0,33.0,105.23525619812355,07-03-2023,,,,
Wireless Mouse,sale,1.0,3678.905081650242,2849.0,25.0,73.57810163300485,11-09-2023,,,,
Bluetooth Speaker,sale,3.0,6029.4519526586855,3845.0,37.0,120.5890390531737,01-07-2023,,,,
Gaming Monitor,sale,3.0,4935.181731394675,2954.0,19.0,98.7036346278935,29-01-2023,,,,
Wireless Mouse,sale,2.0,7470.646031088997,4349.0,38.0,149.41292062177993,22-10-2023,,,,
Laptop Stand,sale,2.0,3878.3789013863475,3174.0,16.0,77.56757802772695,24-01-2023,,,,
Ethernet Adapter,sale,3.0,1646.700154943461,1346.0,35.0,32.93400309886922,30-10-2023,,,,
USB-C Hub,sale,2.0,8530.715944326108,4909.0,48.0,170.61431888652217,19-02-2023,,,,
USB-C Hub,purchase,5.0,0.0,3467.0,137.0,0.0,18-02-2023,,,,
USB-C Hub,purchase,79.0,0.0,2908.0,37.0,0.0,09-11-2023,,,,
Noise Cancelling Headphones,purchase,92.0,0.0,3892.0,126.0,0.0,27-11-2023,,,,
Mechanical Keyboard,purchase,17.0,0.0,4647.0,108.0,0.0,12-10-2023,,,,
Gaming Monitor,sale,3.0,6281.196337879784,4346.0,23.0,125.62392675759567,19-11-2023,,,,
Webcam,sale,1.0,6308.968534501549,4750.0,33.0,126.17937069003098,27-04-2023,,,,
Wireless Mouse,sale,2.0,3276.62479642963,2427.0,17.0,65.5324959285926,02-02-2023,,,,
External SSD,sale,3.0,1200.606624786945,855.0,26.0,24.012132495738904,17-08-2023,,,,
USB-C Hub,sale,1.0,1476.4434513551666,998.0,25.0,29.528869027103333,25-04-2023,,,,
Wireless Mouse,sale,2.0,6626.884342870526,4498.0,17.0,132.5376868574105,29-08-2023,,,,
Ethernet Adapter,sale,1.0,5538.657909676065,3818.0,46.0,110.77315819352131,23-04-2023,,,,
Webcam,purchase,60.0,0.0,1748.0,147.0,0.0,14-06-2023,,,,
Ethernet Adapter,sale,3.0,5055.8954421567605,3745.0,38.0,101.11790884313521,01-01-2023,,,,
Noise Cancelling Headphones,sale,2.0,4482.7532703756215,3037.0,21.0,89.65506540751242,04-02-2023,,,,
Laptop Stand,purchase,25.0,0.0,704.0,24.0,0.0,30-04-2023,,,,
Laptop Stand,sale,1.0,1968.5128708730092,1571.0,23.0,39.37025741746019,04-06-2023,,,,
Wireless Mouse,sale,3.0,5926.560960522584,3359.0,23.0,118.53121921045168,29-05-2023,,,,
Mechanical Keyboard,sale,2.0,5793.064059430728,3713.0,26.0,115.86128118861456,28-05-2023,,,,
Webcam,sale,4.0,5751.671828294939,4481.0,22.0,115.03343656589878,02-10-2023,,,,
Ethernet Adapter,sale,2.0,850.6967382353059,674.0,15.0,17.013934764706118,22-12-2023,,,,
Noise Cancelling Headphones,sale,4.0,1107.203384045814,713.0,39.0,22.14406768091628,14-02-2023,,,,
Wireless Mouse,purchase,87.0,0.0,4619.0,32.0,0.0,16-06-2023,,,,
External SSD,purchase,68.0,0.0,3958.0,12.0,0.0,04-09-2023,,,,
External SSD,sale,3.0,1908.1307205627672,1226.0,33.0,38.16261441125535,07-10-2023,,,,
Mechanical Keyboard,sale,3.0,1417.9017109055178,794.0,32.0,28.358034218110358,04-07-2023,,,,
External SSD,sale,2.0,3234.667750207801,1850.0,36.0,64.69335500415602,21-01-2023,,,,
Webcam,purchase,23.0,0.0,2861.0,75.0,0.0,10-02-2023,,,,
External SSD,purchase,51.0,0.0,3646.0,13.0,0.0,19-03-2023,,,,
Webcam,sale,2.0,5180.2427689363985,4082.0,10.0,103.60485537872798,16-04-2023,,,,
Gaming Monitor,purchase,16.0,0.0,1107.0,27.0,0.0,14-10-2023,,,,
Gaming Monitor,sale,2.0,5209.532934716381,3524.0,49.0,104.19065869432761,22-11-2023,,,,
Wireless Mouse,sale,3.0,3499.475513662423,2395.0,35.0,69.98951027324846,10-09-2023,,,,
External SSD,sale,4.0,7994.127948318459,4539.0,45.0,159.88255896636917,25-04-2023,,,,
USB-C Hub,sale,2.0,3095.7342720410966,1729.0,5.0,61.914685440821934,23-12-2023,,,,
Gaming Monitor,sale,1.0,4976.483492127672,3186.0,8.0,99.52966984255345,09-12-2023,,,,
Webcam,sale,3.0,3194.21367968729,2471.0,12.0,63.8842735937458,11-05-2023,,,,
Laptop Stand,sale,3.0,5947.5235234930105,4459.0,23.0,118.9504704698602,13-05-2023,,,,
Bluetooth Speaker,purchase,8.0,0.0,1741.0,144.0,0.0,21-09-2023,,,,
External SSD,purchase,37.0,0.0,2339.0,50.0,0.0,16-04-2023,,,,
Gaming Monitor,sale,1.0,5890.599860906538,3623.0,15.0,117.81199721813077,18-04-2023,,,,
Bluetooth Speaker,sale,2.0,1461.2838285087867,1057.0,48.0,29.225676570175732,17-09-2023,,,,
Gaming Monitor,sale,2.0,5410.735497374966,3840.0,26.0,108.21470994749933,29-10-2023,,,,
Gaming Monitor,sale,2.0,7482.220281515546,4182.0,7.0,149.64440563031093,08-10-2023,,,,
Laptop Stand,sale,1.0,5782.905324578768,4500.0,15.0,115.65810649157537,28-12-2023,,,,
USB-C Hub,sale,3.0,3992.172497734962,2556.0,46.0,79.84344995469924,09-09-2023,,,,
Ethernet Adapter,purchase,11.0,0.0,4670.0,74.0,0.0,23-05-2023,,,,
External SSD,purchase,56.0,0.0,4710.0,62.0,0.0,02-10-2023,,,,
Webcam,sale,3.0,6170.177509435173,4354.0,13.0,123.40355018870346,24-09-2023,,,,
Gaming Monitor,sale,3.0,3386.439102734515,2366.0,46.0,67.7287820546903,02-02-2023,,,,
USB-C Hub,sale,3.0,6001.026393914852,3809.0,35.0,120.02052787829703,11-05-2023,,,,
External SSD,purchase,72.0,0.0,4581.0,129.0,0.0,14-08-2023,,,,
Mechanical Keyboard,sale,4.0,2005.769154054376,1458.0,21.0,40.11538308108752,24-03-2023,,,,
Noise Cancelling Headphones,sale,4.0,5468.887979941399,3618.0,18.0,109.37775959882798,08-01-2023,,,,
Mechanical Keyboard,sale,2.0,7719.587705799744,4896.0,30.0,154.39175411599487,21-05-2023,,,,
Mechanical Keyboard,purchase,93.0,0.0,1443.0,126.0,0.0,16-01-2023,,,,
Wireless Mouse,purchase,1.0,0.0,3013.0,38.0,0.0,07-04-2023,,,,
Bluetooth Speaker,purchase,77.0,0.0,2747.0,30.0,0.0,19-10-2023,,,,
Noise Cancelling Headphones,sale,4.0,6311.594917413442,4332.0,31.0,126.23189834826884,10-09-2023,,,,
Wireless Mouse,sale,4.0,3162.734660944129,2027.0,34.0,63.25469321888258,17-01-2023,,,,
Mechanical Keyboard,purchase,64.0,0.0,1653.0,112.0,0.0,25-08-2023,,,,
Mechanical Keyboard,sale,1.0,4479.185558338996,2683.0,9.0,89.58371116677992,29-01-2023,,,,
Mechanical Keyboard,purchase,55.0,0.0,4325.0,64.0,0.0,08-09-2023,,,,
Wireless Mouse,sale,1.0,1598.0294560029859,1209.0,9.0,31.96058912005972,20-03-2023,,,,
Noise Cancelling Headphones,sale,3.0,3118.3976067778685,1856.0,17.0,62.367952135557374,05-12-2023,,,,
External SSD,purchase,22.0,0.0,1287.0,106.0,0.0,17-04-2023,,,,
Laptop Stand,sale,4.0,1573.4418274143293,951.0,13.0,31.468836548286585,03-01-2023,,,,
USB-C Hub,sale,4.0,3682.9651977809485,2886.0,14.0,73.65930395561897,17-09-2023,,,,
Ethernet Adapter,sale,3.0,2243.3589860654824,1820.0,17.0,44.86717972130965,03-11-2023,,,,
Gaming Monitor,purchase,43.0,0.0,1879.0,88.0,0.0,11-04-2023,,,,
Gaming Monitor,sale,1.0,5080.154211976247,3533.0,22.0,101.60308423952495,16-02-2023,,,,
Mechanical Keyboard,sale,2.0,3415.7622360880227,2440.0,45.0,68.31524472176045,05-06-2023,,,,
Noise Cancelling Headphones,sale,4.0,1192.078677965519,938.0,18.0,23.841573559310383,21-10-2023,,,,
Wireless Mouse,sale,4.0,3889.9879716543114,2820.0,27.0,77.79975943308624,15-02-2023,,,,
Bluetooth Speaker,sale,1.0,1104.365638099498,772.0,43.0,22.08731276198996,28-01-2023,,,,
Mechanical Keyboard,sale,1.0,4610.405491058259,3173.0,24.0,92.20810982116518,26-08-2023,,,,
Laptop Stand,sale,3.0,4750.2851329134455,3634.0,36.0,95.00570265826892,01-10-2023,,,,
USB-C Hub,purchase,44.0,0.0,3803.0,113.0,0.0,12-12-2023,,,,
Bluetooth Speaker,purchase,28.0,0.0,896.0,125.0,0.0,01-08-2023,,,,
Laptop Stand,purchase,80.0,0.0,4756.0,112.0,0.0,14-07-2023,,,,
Gaming Monitor,sale,4.0,1075.2439215506063,770.0,34.0,21.504878431012127,02-09-2023,,,,
Mechanical Keyboard,sale,3.0,2886.7762805399734,2119.0,25.0,57.73552561079947,28-11-2023,,,,
Webcam,sale,1.0,3021.2187517123302,2415.0,12.0,60.42437503424661,27-11-2023,,,,
Noise Cancelling Headphones,sale,1.0,2252.384825651251,1683.0,8.0,45.04769651302502,04-04-2023,,,,
Mechanical Keyboard,purchase,33.0,0.0,2069.0,119.0,0.0,17-08-2023,,,,
Bluetooth Speaker,sale,1.0,6980.313198988021,4503.0,45.0,139.60626397976043,03-05-2023,,,,
Webcam,sale,2.0,2974.2973998573743,1695.0,14.0,59.48594799714749,01-09-2023,,,,
Webcam,sale,2.0,5938.30635571077,3786.0,19.0,118.7661271142154,03-08-2023,,,,
Bluetooth Speaker,sale,1.0,1132.5865880064996,782.0,46.0,22.65173176012999,14-10-2023,,,,
External SSD,sale,3.0,4573.491478622096,2982.0,42.0,91.46982957244192,15-07-2023,,,,
Webcam,sale,3.0,3225.95120906172,2034.0,27.0,64.5190241812344,19-09-2023,,,,
Laptop Stand,purchase,40.0,0.0,4998.0,80.0,0.0,16-09-2023,,,,
Mechanical Keyboard,purchase,59.0,0.0,3133.0,10.0,0.0,17-09-2023,,,,
Gaming Monitor,sale,2.0,4692.688018322913,3088.0,27.0,93.85376036645826,06-02-2023,,,,
Ethernet Adapter,sale,3.0,3091.438702007634,1744.0,47.0,61.82877404015269,13-04-2023,,,,
Bluetooth Speaker,purchase,65.0,0.0,3670.0,84.0,0.0,07-06-2023,,,,
Bluetooth Speaker,sale,4.0,5136.908896319063,3537.0,20.0,102.73817792638127,02-05-2023,,,,
Wireless Mouse,sale,3.0,1522.9110244372423,924.0,7.0,30.458220488744846,25-01-2023,,,,
Mechanical Keyboard,sale,1.0,2336.769209112563,1684.0,45.0,46.735384182251266,05-07-2023,,,,
Laptop Stand,purchase,60.0,0.0,4870.0,46.0,0.0,31-12-2023,,,,
Noise Cancelling Headphones,purchase,36.0,0.0,4625.0,90.0,0.0,08-06-2023,,,,
Laptop Stand,sale,3.0,8231.800609617532,4694.0,14.0,164.63601219235065,16-05-2023,,,,
Webcam,sale,2.0,1383.830466899184,1053.0,10.0,27.67660933798368,12-01-2023,,,,
USB-C Hub,sale,4.0,6067.228410691282,3549.0,17.0,121.34456821382564,26-02-2023,,,,
Wireless Mouse,sale,3.0,1031.3590915570787,654.0,20.0,20.627181831141574,23-08-2023,,,,
Laptop Stand,purchase,76.0,0.0,2204.0,42.0,0.0,26-09-2023,,,,
Noise Cancelling Headphones,purchase,28.0,0.0,3745.0,101.0,0.0,10-03-2023,,,,
